accession	strain	product
111	MH615911.1	Rp140346_Guangdong	RNA-dependent RNA polymerase
112	MH615912.1	Rs140400_Guangdong	RNA-dependent RNA polymerase
113	MH615913.1	Rs140289_Guangdong	RNA-dependent RNA polymerase
114	MH615914.1	Rs13484_Guangxi	RNA-dependent RNA polymerase
115	MH615915.1	Rs8561_Guangdong	RNA-dependent RNA polymerase
116	MH615916.1	Rs8572_Guangdong	RNA-dependent RNA polymerase
117	MH615917.1	Rs141455_Guangxi	RNA-dependent RNA polymerase
118	MH615918.1	Rs141567_Guangxi	RNA-dependent RNA polymerase
119	MH615919.1	Rs151569_Guizhou	RNA-dependent RNA polymerase
120	MH615920.1	Rp8794_Guangdong	RNA-dependent RNA polymerase
121	MH615921.1	Rs8460_Guangdong	RNA-dependent RNA polymerase
122	MH615922.1	Rf130223-29_Beijing	RNA-dependent RNA polymerase
123	MH615923.1	Rf131457_Shanxi	RNA-dependent RNA polymerase
124	MH615924.1	Rs151239_Hunan	RNA-dependent RNA polymerase
125	MH615925.1	Rf131481_Shanxi	RNA-dependent RNA polymerase
126	MH615926.1	Rf131412_Shanxi	RNA-dependent RNA polymerase
127	MH615927.1	Rf131405_Shanxi	RNA-dependent RNA polymerase
128	MH615928.1	Rm2842_Chongqing	RNA-dependent RNA polymerase
129	MH615929.1	Rs151199_Hunan	RNA-dependent RNA polymerase
130	MH615930.1	Rs9201_Hubei	RNA-dependent RNA polymerase
131	MH615931.1	Rs9214_Hubei	RNA-dependent RNA polymerase
132	MH615932.1	Rf131468_Shanxi	RNA-dependent RNA polymerase
133	MH615933.1	Rs151161_Hunan	RNA-dependent RNA polymerase
134	MH615934.1	Rs151200_Hunan	RNA-dependent RNA polymerase
135	MH615935.1	Rs151262_Guizhou	RNA-dependent RNA polymerase
136	MH615936.1	Rs151334_Guizhou	RNA-dependent RNA polymerase
137	MH615937.1	Rs151388_Guizhou	RNA-dependent RNA polymerase
138	MH615938.1	Rs151491_Guizhou	RNA-dependent RNA polymerase
139	MH615939.1	Rs151493_Guizhou	RNA-dependent RNA polymerase
140	MH615940.1	Rs151503_Guizhou	RNA-dependent RNA polymerase
141	MH615941.1	Rs151514_Guizhou	RNA-dependent RNA polymerase
142	MH615942.1	Rs161419_Guangdong	RNA-dependent RNA polymerase
143	MH615943.1	Rs161465_Guangdong	RNA-dependent RNA polymerase
144	MH615944.1	Rf5511_Yunnan	spike protein
145	MH615945.1	Rs6303_Yunnan	spike protein
146	MH615946.1	Rs6255_Yunnan	spike protein
147	MH615947.1	Rs6266_Yunnan	spike protein
148	MH615948.1	Rs160665_Yunnan	spike protein
149	MH615949.1	Rs5725_Yunnan	spike protein
150	MH615950.1	Rspp7931_Yunnan	spike protein
151	MH615951.1	Rspp7905_Yunnan	spike protein
152	MH615952.1	Ra7909_Yunnan	spike protein
153	MH615953.1	Rspp7924_Yunnan	spike protein
154	MH615954.1	Rs8363_Guangdong	spike protein
155	MH615955.1	Rs141456_Guangxi	spike protein
156	MH615956.1	Rs140400_Guangdong	spike protein
157	MH615957.1	Rs140391_Guangdong	spike protein
158	MH615958.1	Rs141341_Guangdong	spike protein
159	MH615959.1	Rs141369_Guangdong	spike protein
160	MH615960.1	Rs140288_Guangdong	spike protein
161	MH615961.1	Rs8460_Guangdong	spike protein
162	MH615962.1	Rs13589_Guangdong	spike protein
163	MH615963.1	Rs13973_Guangdong	spike protein
164	MH615964.1	Rs13479_Guangxi	spike protein
165	MH615965.1	Rs13488_Guangxi	spike protein
166	MH615966.1	Rs13484_Guangxi	spike protein
167	MH615967.1	Rs140289_Guangdong	spike protein
168	MH615968.1	Rs141455_Guangxi	spike protein
169	MH615969.1	Rs141567_Guangxi	spike protein
170	MH615970.1	Rs8561_Guangdong	spike protein
171	MH615971.1	Rs8572_Guangdong	spike protein
172	MH615972.1	Rs8586_Guangdong	spike protein
173	MH615973.1	Rp140346_Guangdong	spike protein
174	MH615974.1	Rs151569_Guizhou	spike protein
175	MH615975.1	Rf131457_Shanxi	spike protein
176	MH615976.1	Rf131412_Shanxi	spike protein
177	MH615977.1	Rf131405_Shanxi	spike protein
178	MH615978.1	Rs151239_Hunan	spike protein
179	MH615979.1	Rm2842_Chongqing	spike protein
